ID,User,Item
0,c894d8a9-f9e1-11e9-8f3d-d43b041bfdb9,c897b6fe-f9e1-11e9-8f3d-d43b041bfdb9
1,c894d976-f9e1-11e9-8f3d-d43b041bfdb9,c89746d0-f9e1-11e9-8f3d-d43b041bfdb9
2,c893fc98-f9e1-11e9-8f3d-d43b041bfdb9,c897b52e-f9e1-11e9-8f3d-d43b041bfdb9
3,c89470c7-f9e1-11e9-8f3d-d43b041bfdb9,c89745b2-f9e1-11e9-8f3d-d43b041bfdb9
4,c893fb12-f9e1-11e9-8f3d-d43b041bfdb9,c897b6b4-f9e1-11e9-8f3d-d43b041bfdb9
5,c8946fbd-f9e1-11e9-8f3d-d43b041bfdb9,c897469e-f9e1-11e9-8f3d-d43b041bfdb9
6,c8938db1-f9e1-11e9-8f3d-d43b041bfdb9,c897b7d6-f9e1-11e9-8f3d-d43b041bfdb9
7,c89548f1-f9e1-11e9-8f3d-d43b041bfdb9,c897b527-f9e1-11e9-8f3d-d43b041bfdb9
8,c8954bd7-f9e1-11e9-8f3d-d43b041bfdb9,c8986300-f9e1-11e9-8f3d-d43b041bfdb9
9,c8947056-f9e1-11e9-8f3d-d43b041bfdb9,c89864b9-f9e1-11e9-8f3d-d43b041bfdb9
10,c8946ffb-f9e1-11e9-8f3d-d43b041bfdb9,c89747b0-f9e1-11e9-8f3d-d43b041bfdb9
11,c893fbf9-f9e1-11e9-8f3d-d43b041bfdb9,c897b51a-f9e1-11e9-8f3d-d43b041bfdb9
12,c893fb19-f9e1-11e9-8f3d-d43b041bfdb9,c897477d-f9e1-11e9-8f3d-d43b041bfdb9
13,c8946de5-f9e1-11e9-8f3d-d43b041bfdb9,c897b4e0-f9e1-11e9-8f3d-d43b041bfdb9
14,c8954b17-f9e1-11e9-8f3d-d43b041bfdb9,c897b6b5-f9e1-11e9-8f3d-d43b041bfdb9
15,c893fb3f-f9e1-11e9-8f3d-d43b041bfdb9,c897b703-f9e1-11e9-8f3d-d43b041bfdb9
16,c8954b7b-f9e1-11e9-8f3d-d43b041bfdb9,c897b55c-f9e1-11e9-8f3d-d43b041bfdb9
17,c893fb9c-f9e1-11e9-8f3d-d43b041bfdb9,c89747c1-f9e1-11e9-8f3d-d43b041bfdb9
18,c894dbdb-f9e1-11e9-8f3d-d43b041bfdb9,c8986336-f9e1-11e9-8f3d-d43b041bfdb9
19,c89548e3-f9e1-11e9-8f3d-d43b041bfdb9,c8974815-f9e1-11e9-8f3d-d43b041bfdb9
20,c8954b4e-f9e1-11e9-8f3d-d43b041bfdb9,c8974659-f9e1-11e9-8f3d-d43b041bfdb9
21,c893faa3-f9e1-11e9-8f3d-d43b041bfdb9,c897b6c7-f9e1-11e9-8f3d-d43b041bfdb9
22,c893fd20-f9e1-11e9-8f3d-d43b041bfdb9,c897b736-f9e1-11e9-8f3d-d43b041bfdb9
23,c894dbd0-f9e1-11e9-8f3d-d43b041bfdb9,c897b7ab-f9e1-11e9-8f3d-d43b041bfdb9
24,c893fc56-f9e1-11e9-8f3d-d43b041bfdb9,c8974647-f9e1-11e9-8f3d-d43b041bfdb9
25,c893f9d7-f9e1-11e9-8f3d-d43b041bfdb9,c8986339-f9e1-11e9-8f3d-d43b041bfdb9
